h_nb_games_home,h_nb_victories,h_season_points,h_nb_games_total,h_last_n_games_points,h_nb_goals_scored_home,h_mean_nb_goals_scored_home,h_nb_goals_conceded_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_games_away,a_nb_victories_draws,a_season_points,a_nb_games_total,a_last_n_games_points,a_nb_goals_scored_away,a_mean_nb_goals_scored_away,a_nb_goals_conceded_away,a_mean_nb_goals_conceded_away,a_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id,Date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1,8,33,7839.95533728,42785.0,0,E0_2009_2010_0,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.5,8,33,2384.24417552,31154.0,0,E0_2009_2010_1,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8,33,8738.10940022,28100.0,0,E0_2009_2010_2,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,8,33,14384.6565939,42449.0,1,E0_2009_2010_3,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.8,8,33,8491.07085483,40157.0,0,E0_2009_2010_4,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,8,33,5273.21616899,20224.0,0,E0_2009_2010_5,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,8,33,5113.36430783,27740.0,1,E0_2009_2010_6,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8,33,3980.33671161,27828.0,0,E0_2009_2010_7,2009-08-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3,8,33,8720.15409563,36230.0,1,E0_2009_2010_9,2009-08-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,8,33,6683.90670903,75811.0,1,E0_2009_2010_8,2009-08-16
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,174.7,8,34,17871.5783766,48707.0,0,E0_2009_2010_10,2009-08-18
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.9,8,34,6783.28990816,25133.0,0,E0_2009_2010_11,2009-08-18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,34,9692.95456899,30079.0,1,E0_2009_2010_12,2009-08-19
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,131.6,8,34,2111.77496751,22546.0,1,E0_2009_2010_13,2009-08-19
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,66.6,8,34,13577.2903217,25404.0,0,E0_2009_2010_14,2009-08-19
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.3,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,44.8,8,34,5613.8484919,45276.0,1,E0_2009_2010_15,2009-08-19
1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,39.1,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,131.6,8,34,2360.0499154,25133.0,0,E0_2009_2010_21,2009-08-22
1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,3.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,8,34,7779.49290957,48707.0,1,E0_2009_2010_20,2009-08-22
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,132.5,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,29.9,8,34,5701.1309354,47405.0,1,E0_2009_2010_19,2009-08-22
1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,38.1,1.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,44.8,8,34,3583.89574047,30079.0,0,E0_2009_2010_17,2009-08-22
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,110.8,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,8,34,5709.31412774,60361.0,1,E0_2009_2010_16,2009-08-22
1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,5.0,38.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.9,8,34,13087.2274628,25404.0,1,E0_2009_2010_18,2009-08-22
1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,22.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.5,8,34,5075.01648345,22546.0,1,E0_2009_2010_22,2009-08-23
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,48.5,1.0,1.0,6.0,2.0,3.0,3.0,3.0,1.0,1.0,174.7,8,34,80.3441436246,25700.0,0,E0_2009_2010_23,2009-08-23
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,1.0,6.0,2.0,3.0,5.0,5.0,1.0,1.0,66.6,8,34,487.831457697,35303.0,0,E0_2009_2010_24,2009-08-23
1.0,1.0,3.0,2.0,3.0,4.0,4.0,0.0,0.0,120.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.1,8,35,8217.78456225,45276.0,0,E0_2009_2010_25,2009-08-24
1.0,1.0,9.0,3.0,3.0,2.0,2.0,1.0,1.0,174.7,1.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,2.0,22.4,8,35,11317.831407,42449.0,1,E0_2009_2010_28,2009-08-29
1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,29.9,1.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,38.3,8,35,12390.973814,27828.0,0,E0_2009_2010_32,2009-08-29
1.0,1.0,9.0,3.0,3.0,2.0,2.0,1.0,1.0,66.6,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,38.1,8,35,3966.42346745,36230.0,1,E0_2009_2010_31,2009-08-29
1.0,1.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,44.8,1.0,1.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,54.0,8,35,12387.254649,27740.0,1,E0_2009_2010_30,2009-08-29
1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,45.9,1.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,120.3,8,35,2857.39218926,28100.0,0,E0_2009_2010_27,2009-08-29
1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,47.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,54.0,8,35,10447.2443939,31154.0,0,E0_2009_2010_26,2009-08-29
1.0,1.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,131.6,1.0,1.0,6.0,2.0,3.0,6.0,6.0,1.0,1.0,110.8,8,35,9334.36120511,75811.0,1,E0_2009_2010_29,2009-08-29
1.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0,6.0,54.5,1.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,39.1,8,35,2100.34612846,40157.0,1,E0_2009_2010_34,2009-08-30
1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,80.1,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,48.5,8,35,4586.81371232,42785.0,1,E0_2009_2010_33,2009-08-30
1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,2.0,3.0,2.0,2.0,0.0,0.0,132.5,8,35,12631.2796165,20224.0,0,E0_2009_2010_35,2009-08-30
2.0,1.0,6.0,4.0,3.0,3.0,1.5,4.0,2.0,54.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1.5,38.3,9,37,7639.48541845,48707.0,1,E0_2009_2010_41,2009-09-12
2.0,2.0,12.0,4.0,6.0,4.0,2.0,2.0,1.0,66.6,2.0,1.0,9.0,4.0,3.0,5.0,2.5,1.0,0.5,131.6,9,37,9459.49334874,36230.0,0,E0_2009_2010_42,2009-09-12
2.0,2.0,7.0,4.0,6.0,3.0,1.5,0.0,0.0,44.8,2.0,2.0,12.0,4.0,6.0,5.0,2.5,1.0,0.5,174.7,9,37,6606.59652001,27740.0,0,E0_2009_2010_40,2009-09-12
2.0,0.0,3.0,4.0,0.0,0.0,0.0,6.0,3.0,39.1,2.0,2.0,4.0,3.0,4.0,2.0,1.0,0.0,0.0,54.0,9,37,9153.89091337,25133.0,1,E0_2009_2010_43,2009-09-12
1.0,1.0,9.0,3.0,3.0,1.0,1.0,0.0,0.0,132.5,2.0,1.0,6.0,3.0,3.0,7.0,3.5,3.0,1.5,110.8,9,37,9593.89698579,47405.0,1,E0_2009_2010_38,2009-09-12
2.0,1.0,6.0,4.0,3.0,5.0,2.5,3.0,1.5,120.3,2.0,0.0,6.0,4.0,0.0,0.0,0.0,5.0,2.5,22.4,9,37,5069.67539931,45276.0,1,E0_2009_2010_37,2009-09-12
2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,47.0,2.0,1.0,4.0,4.0,3.0,1.0,0.5,1.0,0.5,29.9,9,37,7539.78579623,31154.0,1,E0_2009_2010_36,2009-09-12
2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,45.9,9,37,11105.3341334,20224.0,0,E0_2009_2010_39,2009-09-12
2.0,1.0,4.0,4.0,4.0,1.0,0.5,0.0,0.0,38.1,1.0,1.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,80.1,9,37,222.667627283,30079.0,0,E0_2009_2010_44,2009-09-13
1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,48.5,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,54.5,9,37,8092.52871681,25700.0,1,E0_2009_2010_45,2009-09-13
1.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,2.0,54.0,2.0,1.0,9.0,5.0,3.0,4.0,2.0,4.0,2.0,120.3,9,38,8239.69136728,35303.0,0,E0_2009_2010_51,2009-09-19
2.0,1.0,4.0,5.0,3.0,2.0,1.0,5.0,2.5,38.3,2.0,0.0,4.0,5.0,0.0,1.0,0.5,3.0,1.5,38.1,9,38,11468.4145896,25404.0,0,E0_2009_2010_50,2009-09-19
2.0,2.0,6.0,5.0,6.0,2.0,1.0,0.0,0.0,22.4,2.0,1.0,9.0,5.0,3.0,1.0,0.5,1.0,0.5,54.0,9,38,7306.97900359,22546.0,1,E0_2009_2010_49,2009-09-19
2.0,1.0,9.0,4.0,3.0,2.0,1.0,2.0,1.0,80.1,2.0,0.0,0.0,5.0,0.0,1.0,0.5,5.0,2.5,0.0,9,38,9818.84154097,42785.0,1,E0_2009_2010_47,2009-09-19
1.0,1.0,6.0,4.0,3.0,4.0,4.0,1.0,1.0,110.8,2.0,1.0,6.0,5.0,3.0,3.0,1.5,2.0,1.0,39.1,9,38,9416.23849251,60361.0,1,E0_2009_2010_46,2009-09-19
2.0,0.0,3.0,4.0,0.0,2.0,1.0,4.0,2.0,45.9,2.0,1.0,7.0,5.0,1.0,0.0,0.0,4.0,2.0,44.8,9,38,4388.27603271,28100.0,0,E0_2009_2010_48,2009-09-19
2.0,2.0,15.0,5.0,6.0,5.0,2.5,1.0,0.5,174.7,2.0,2.0,12.0,5.0,6.0,7.0,3.5,2.0,1.0,66.6,9,38,807.440066794,42449.0,1,E0_2009_2010_52,2009-09-20
2.0,1.0,3.0,4.0,3.0,3.0,1.5,7.0,3.5,54.5,1.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,2.0,47.0,9,38,3505.84645884,40157.0,1,E0_2009_2010_53,2009-09-20
2.0,2.0,12.0,5.0,6.0,3.0,1.5,1.0,0.5,131.6,2.0,2.0,12.0,4.0,6.0,3.0,1.5,0.0,0.0,132.5,9,38,592.867568829,75811.0,1,E0_2009_2010_54,2009-09-20
2.0,0.0,4.0,5.0,1.0,1.0,0.5,3.0,1.5,29.9,2.0,1.0,6.0,4.0,3.0,1.0,0.5,2.0,1.0,48.5,9,38,4486.79652258,27828.0,1,E0_2009_2010_55,2009-09-20
3.0,2.0,8.0,6.0,6.0,4.0,1.33333333333,2.0,0.666666666667,44.8,3.0,2.0,15.0,6.0,6.0,8.0,2.66666666667,2.0,0.666666666667,131.6,9,39,3108.57995207,27740.0,0,E0_2009_2010_61,2009-09-26
3.0,2.0,12.0,6.0,6.0,5.0,1.66666666667,5.0,1.66666666667,66.6,3.0,0.0,9.0,6.0,0.0,0.0,0.0,9.0,3.0,22.4,9,39,11571.1658987,36230.0,1,E0_2009_2010_62,2009-09-26
3.0,0.0,0.0,6.0,0.0,2.0,0.666666666667,5.0,1.66666666667,0.0,2.0,0.0,6.0,5.0,0.0,1.0,0.5,3.0,1.5,54.5,9,39,8301.58954402,20224.0,0,E0_2009_2010_60,2009-09-26
3.0,1.0,6.0,6.0,3.0,1.0,0.333333333333,6.0,2.0,39.1,3.0,3.0,18.0,6.0,9.0,7.0,2.33333333333,2.0,0.666666666667,174.7,9,39,9137.95661117,25133.0,1,E0_2009_2010_63,2009-09-26
2.0,1.0,6.0,5.0,3.0,2.0,1.0,3.0,1.5,48.5,3.0,1.0,9.0,5.0,3.0,9.0,3.0,7.0,2.33333333333,110.8,9,39,557.389452287,25700.0,0,E0_2009_2010_58,2009-09-26
3.0,1.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,47.0,2.0,2.0,12.0,5.0,6.0,4.0,2.0,1.0,0.5,80.1,9,39,8467.37621358,31154.0,1,E0_2009_2010_57,2009-09-26
3.0,1.0,7.0,6.0,4.0,1.0,0.333333333333,1.0,0.333333333333,38.1,2.0,1.0,4.0,5.0,3.0,3.0,1.5,3.0,1.5,45.9,9,39,7911.05452438,30079.0,0,E0_2009_2010_56,2009-09-26
3.0,2.0,12.0,6.0,6.0,9.0,3.0,3.0,1.0,120.3,3.0,1.0,4.0,6.0,1.0,3.0,1.0,7.0,2.33333333333,38.3,9,39,15879.2680551,45276.0,1,E0_2009_2010_59,2009-09-26
3.0,2.0,9.0,6.0,6.0,7.0,2.33333333333,5.0,1.66666666667,54.0,3.0,1.0,7.0,6.0,3.0,2.0,0.666666666667,4.0,1.33333333333,29.9,9,39,14907.4468883,48707.0,1,E0_2009_2010_64,2009-09-27
