h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,diff_nb_victories,diff_nb_draws,diff_nb_defeats,diff_nb_points,diff_nb_goals_diff,diff_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id
1.0,0.0,3.0,3.0,3.0,8.0,-5.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,-6.0,0.0,0.0,0.0,2.0,0.0,3.0,39.1,1.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,54.0,0.0,-1.0,2.0,-1.0,-6.0,-14.9,9,37,9153.89091337,25133.0,1,E0_2009_2010_43
4.0,0.0,0.0,12.0,11.0,4.0,7.0,4.0,2.0,2.0,0.0,0.0,6.0,4.0,2.0,2.0,6.0,2.0,0.0,0.0,2.0,1.0,66.6,3.0,0.0,1.0,9.0,8.0,2.0,6.0,4.0,2.0,1.0,0.0,1.0,3.0,5.0,1.0,4.0,3.0,1.0,0.0,1.0,2.5,0.5,131.6,1.0,0.0,-1.0,3.0,1.0,-65.0,9,37,9459.49334874,36230.0,0,E0_2009_2010_42
2.0,0.0,2.0,6.0,4.0,5.0,-1.0,4.0,2.0,1.0,0.0,1.0,3.0,3.0,4.0,-1.0,3.0,1.0,0.0,1.0,1.5,2.0,54.0,1.0,1.0,2.0,4.0,4.0,8.0,-4.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.5,38.3,1.0,-1.0,0.0,2.0,3.0,15.7,9,37,7639.48541845,48707.0,1,E0_2009_2010_41
2.0,1.0,1.0,7.0,3.0,4.0,-1.0,4.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,3.0,6.0,2.0,0.0,0.0,1.5,0.0,44.8,4.0,0.0,0.0,12.0,10.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,6.0,5.0,1.0,4.0,6.0,2.0,0.0,0.0,2.5,0.5,174.7,-2.0,1.0,1.0,-5.0,-9.0,-129.9,9,37,6606.59652001,27740.0,0,E0_2009_2010_40
0.0,1.0,2.0,1.0,1.0,4.0,-3.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,47.0,1.0,1.0,2.0,4.0,2.0,4.0,-2.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.5,0.5,29.9,-1.0,0.0,0.0,-3.0,-1.0,17.1,9,37,7539.78579623,31154.0,1,E0_2009_2010_36
3.0,0.0,0.0,9.0,4.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,132.5,2.0,0.0,1.0,6.0,11.0,4.0,7.0,3.0,2.0,1.0,0.0,1.0,3.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,3.5,1.5,110.8,1.0,0.0,-1.0,3.0,-3.0,21.7,9,37,9593.89698579,47405.0,1,E0_2009_2010_38
2.0,0.0,2.0,6.0,9.0,7.0,2.0,4.0,2.0,1.0,0.0,1.0,3.0,5.0,3.0,2.0,3.0,1.0,0.0,1.0,2.5,1.5,120.3,2.0,0.0,2.0,6.0,2.0,5.0,-3.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,-5.0,0.0,0.0,0.0,2.0,0.0,2.5,22.4,0.0,0.0,0.0,0.0,5.0,97.9,9,37,5069.67539931,45276.0,1,E0_2009_2010_37
0.0,0.0,4.0,0.0,1.0,7.0,-6.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,-3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.9,0.0,0.0,1.0,0.0,-3.0,-45.9,9,37,11105.3341334,20224.0,0,E0_2009_2010_39
1.0,1.0,2.0,4.0,2.0,3.0,-1.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.5,0.0,38.1,2.0,0.0,1.0,6.0,5.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,80.1,-1.0,1.0,1.0,-2.0,-3.0,-42.0,9,37,222.667627283,30079.0,0,E0_2009_2010_44
1.0,0.0,2.0,3.0,1.0,4.0,-3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,48.5,1.0,0.0,2.0,3.0,3.0,8.0,-5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,54.5,0.0,0.0,0.0,0.0,2.0,-6.0,9,37,8092.52871681,25700.0,1,E0_2009_2010_45
