id,BbAvH
E0_2009_2010_0,1.66
E0_2009_2010_1,3.37
E0_2009_2010_2,2.24
E0_2009_2010_3,1.17
E0_2009_2010_4,3.07
E0_2009_2010_5,2.53
E0_2009_2010_6,1.91
E0_2009_2010_7,2.57
E0_2009_2010_9,3.13
E0_2009_2010_8,1.19
E0_2009_2010_10,6.88
E0_2009_2010_11,1.69
E0_2009_2010_12,2.04
E0_2009_2010_13,9.79
E0_2009_2010_14,3.8
E0_2009_2010_15,1.25
E0_2009_2010_21,6.48
E0_2009_2010_20,2.07
E0_2009_2010_19,1.32
E0_2009_2010_17,2.23
E0_2009_2010_16,1.18
E0_2009_2010_18,2.46
E0_2009_2010_22,3.34
E0_2009_2010_23,6.35
E0_2009_2010_24,3.03
E0_2009_2010_25,1.43
E0_2009_2010_28,1.14
E0_2009_2010_32,2.09
E0_2009_2010_31,1.36
E0_2009_2010_30,2.34
E0_2009_2010_27,6.29
E0_2009_2010_26,2.18
E0_2009_2010_29,2.13
E0_2009_2010_34,1.73
E0_2009_2010_33,1.73
E0_2009_2010_35,5.99
E0_2009_2010_41,1.76
E0_2009_2010_42,3.14
E0_2009_2010_40,8.52
E0_2009_2010_43,2.27
E0_2009_2010_38,2.83
E0_2009_2010_37,1.19
E0_2009_2010_36,1.84
E0_2009_2010_39,2.51
E0_2009_2010_44,3.28
E0_2009_2010_45,2.53
E0_2009_2010_51,6.32
E0_2009_2010_50,2.35
E0_2009_2010_49,2.76
E0_2009_2010_47,1.4
E0_2009_2010_46,1.24
E0_2009_2010_48,2.09
E0_2009_2010_52,1.49
E0_2009_2010_53,1.77
E0_2009_2010_54,1.59
E0_2009_2010_55,2.51
E0_2009_2010_61,8.63
E0_2009_2010_62,1.33
E0_2009_2010_60,3.95
E0_2009_2010_63,10.26
E0_2009_2010_58,6.32
E0_2009_2010_57,3.0
E0_2009_2010_56,2.2
E0_2009_2010_59,1.15
E0_2009_2010_64,1.72
E0_2009_2010_65,1.42
E0_2009_2010_66,3.88
E0_2009_2010_67,2.26
E0_2009_2010_68,2.79
E0_2009_2010_69,1.2
E0_2009_2010_70,2.07
E0_2009_2010_74,2.16
E0_2009_2010_73,1.55
E0_2009_2010_71,1.22
E0_2009_2010_72,2.11
E0_2009_2010_75,2.65
E0_2009_2010_76,1.16
E0_2009_2010_77,4.46
E0_2009_2010_78,1.44
E0_2009_2010_79,1.22
E0_2009_2010_80,4.47
E0_2009_2010_81,2.11
E0_2009_2010_82,3.85
E0_2009_2010_83,1.74
E0_2009_2010_84,4.88
E0_2009_2010_85,1.67
E0_2009_2010_91,3.42
E0_2009_2010_90,1.43
E0_2009_2010_89,2.5
E0_2009_2010_88,1.19
E0_2009_2010_87,2.43
E0_2009_2010_86,2.77
E0_2009_2010_92,2.61
E0_2009_2010_93,2.86
E0_2009_2010_94,1.45
E0_2009_2010_95,6.99
E0_2009_2010_104,1.95
E0_2009_2010_103,1.9
E0_2009_2010_102,2.37
E0_2009_2010_101,1.17
E0_2009_2010_98,1.92
E0_2009_2010_99,2.49
E0_2009_2010_97,7.9
E0_2009_2010_96,1.57
E0_2009_2010_100,4.12
E0_2009_2010_105,4.28
E0_2009_2010_106,2.74
E0_2009_2010_111,8.34
E0_2009_2010_109,1.32
E0_2009_2010_110,1.55
E0_2009_2010_107,1.77
E0_2009_2010_108,2.09
E0_2009_2010_112,2.01
E0_2009_2010_113,2.73
E0_2009_2010_114,2.44
E0_2009_2010_115,2.27
E0_2009_2010_116,1.33
E0_2009_2010_120,2.82
E0_2009_2010_123,5.69
E0_2009_2010_122,1.39
E0_2009_2010_121,1.92
E0_2009_2010_119,1.16
E0_2009_2010_118,3.3
E0_2009_2010_117,2.46
E0_2009_2010_124,2.2
E0_2009_2010_125,2.1
E0_2009_2010_126,1.46
E0_2009_2010_127,2.07
E0_2009_2010_128,3.4
E0_2009_2010_134,1.8
E0_2009_2010_135,2.45
E0_2009_2010_133,8.86
E0_2009_2010_132,1.27
E0_2009_2010_131,1.88
E0_2009_2010_130,1.9
E0_2009_2010_129,2.42
E0_2009_2010_136,2.63
E0_2009_2010_137,3.35
E0_2009_2010_138,2.37
E0_2009_2010_146,2.36
E0_2009_2010_145,2.07
E0_2009_2010_144,7.49
E0_2009_2010_143,1.85
E0_2009_2010_142,4.16
E0_2009_2010_141,4.82
E0_2009_2010_140,1.45
E0_2009_2010_139,1.28
E0_2009_2010_147,2.83
E0_2009_2010_148,2.13
E0_2009_2010_157,1.27
E0_2009_2010_156,1.8
E0_2009_2010_155,2.08
E0_2009_2010_153,2.76
E0_2009_2010_154,1.47
