CreationDate,NumberFollowers,TeamName,TwitterAccount
2009-04-23 13:38:19,11143913,Arsenal,Arsenal
2009-03-29 19:48:01,1028240,Aston Villa,AVFCOfficial
2009-07-28 08:54:33,224023,Birmingham,BCFC
2009-02-09 13:57:50,180036,Blackburn,Rovers
2011-02-14 16:09:07,112458,Blackpool,BlackpoolFC
2009-08-12 15:42:42,151000,Bolton,OfficialBWFC
2009-02-14 23:42:50,314721,Bournemouth,afcbournemouth
2011-12-19 23:41:12,276522,Burnley,BurnleyOfficial
2009-05-18 11:02:52,224021,Cardiff,CardiffCityFC
2009-03-05 11:54:25,9702644,Chelsea,ChelseaFC
2009-10-26 12:52:46,592872,Crystal Palace,CPFC
2008-08-18 13:36:33,1288919,Everton,Everton
2009-03-05 10:10:44,373334,Fulham,FulhamFC
2010-01-13 11:05:46,381529,Hull,HullCity
2010-03-12 15:05:42,1042656,Leicester,LCFC
2009-01-27 09:05:21,8258312,Liverpool,LFC
2008-04-28 19:28:08,4748662,Man City,ManCity
2012-04-20 15:17:43,13470653,Man United,ManUtd
2011-09-09 11:00:37,249229,Middlesbrough,Boro
2009-04-27 14:44:55,1129413,Newcastle,NUFC
2010-09-06 16:09:24,517262,Norwich,NorwichCityFC
2010-10-15 14:40:10,117116,Portsmouth,officialpompey
2009-01-01 16:42:48,8414,QPR,queensparkfc
2010-05-25 11:24:09,270068,Reading,ReadingFC
2009-06-10 15:52:04,839106,Southampton,SouthamptonFC
2009-06-03 10:45:46,816524,Stoke,stokecity
2009-03-31 09:59:29,770750,Sunderland,SunderlandAFC
2012-01-23 22:04:57,796543,Swansea,SwansOfficial
2010-03-09 11:36:02,2239140,Tottenham,SpursOfficial
2010-12-14 15:24:07,367674,Watford,WatfordFC
2011-04-11 08:29:52,705925,West Brom,WBA
2010-06-16 12:03:21,1257913,West Ham,WestHamUtd
2009-02-17 10:38:01,248279,Wigan,LaticsOfficial
2009-06-21 11:38:45,232254,Wolves,Wolves
